Datetime,Dolar BCV,Dolar Paralelo,Dolar Binance,Dolar Web,Dolar Today,Dolar Paralelo VIP
2024-06-15 11:52:47.448802,36.42,39.80,0.00,40.37,0.00,40.39
2024-06-15 11:52:47.448802,36.42,39.80,0.00,40.37,0.00,40.39
2024-06-15 11:52:47.448802,36.42,39.80,0.00,40.37,0.00,40.39
2024-06-15 11:52:47.448802,36.42,39.80,0.00,40.37,0.00,40.39
2024-06-15 16:00:12.934073,36.42,39.80,0.00,40.22,0.00,40.30
2024-06-15 16:08:07.339963,36.42,39.80,0.00,40.22,0.00,40.29
2024-06-15 16:11:09.686183,36.42,39.80,0.00,40.22,0.00,40.29
2024-06-15 16:16:28.767435,36.42,39.80,0.00,40.22,0.00,40.29
2024-06-16 00:07:52.906323,36.42,39.80,0.00,40.03,0.00,40.17
2024-06-16 00:09:13.441067,36.42,39.80,0.00,40.03,0.00,40.17
